class,mpq,r2,TP,FP,FN,TN,F1,balanced_acc,mcc,seg_hausdorff_(TP),seg_dice_(TP),seg_mcc_(TP),spearman,pearson,log_pearson,model,F1_d
lymphocyte,0.6681043610887901,0.849275049926861,11726.0,2435.8,4720.0,145844.4,0.7662092128055722,0.8482865765095529,0.744934885122883,1.1153231880644543,0.9438816157600897,0.8348391383574087,0.912773760510385,0.9291342794312637,0.8842070574900754,convnextv2_base_focal_fulldata_0,0.5734598475392992
plasma-cell,0.4488151232603606,0.5581503170722234,1018.2,1094.0,806.8,160394.8,0.5172260311431107,0.7755716729329739,0.5127681900843076,1.23401551337852,0.9408669134442327,0.8249224905013877,0.642469798902036,0.8128227928672299,0.7256197450356761,convnextv2_base_focal_fulldata_0,0.2640190578746583
eosinophil,0.4142295197603304,0.5179905163074812,727.4,241.8,840.4,161748.0,0.5734349730207049,0.7312351738725387,0.5871168633443493,2.326441952025886,0.8737811232641246,0.7108523786731209,0.6526988477907978,0.7487644858832853,0.6530357142034905,convnextv2_base_focal_fulldata_0,0.3741906990882165
connective-tissue-cell,0.7304029961532187,0.9673627773423238,40202.0,7273.6,5135.4,116815.0,0.866301115749603,0.9140565671274764,0.8163138872599935,1.540335177860436,0.9306558509705647,0.8369863026040429,0.9728211219912059,0.9852807671295313,0.9519883742108728,convnextv2_base_focal_fulldata_0,0.6555308853499698
mitosis,0.48408293280136183,0.28588165352713935,384.4,344.6,188.6,162494.8,0.5904802264998577,0.8343694751426038,0.5931734479524123,1.7081316007064047,0.9091519328769658,0.7829874319735057,0.6274803392980661,0.6465554592079739,0.5039396018272619,convnextv2_base_focal_fulldata_0,0.40599203578232296
all,0.7385544298657496,0.0,163199.6,9509.2,13320.2,0.0,0.9346290697903745,-999.0,-999.0,1.5171208974143489,0.9414710699315852,0.6171425621967334,0.9907672445772817,0.9934596839947026,0.9786711227657806,convnextv2_base_focal_fulldata_0,0.8505287000101431
neutrophil,0.36800017879351254,0.6190706860150724,815.0,401.2,996.8,162019.8,0.5382985836598044,0.7236793675988296,0.5450130652488105,1.8194197191839419,0.9007396537340828,0.7609608461609637,0.6369828394945363,0.8068622225464086,0.7139445190717517,convnextv2_tiny_focal_fulldata_0,0.2947631112073642
epithelial-cell,0.8204073963473627,0.991032666453038,99402.4,8258.8,9558.4,61184.2,0.9177497591385878,0.8966740736793835,0.790757191216955,1.5790384287237516,0.9464744028713247,0.8611430973676775,0.9929055622387505,0.9954276503301951,0.9708676711127616,convnextv2_tiny_focal_fulldata_0,0.7895265473346635
lymphocyte,0.6705926999232257,0.8446511472005055,11417.4,1998.8,5026.0,146874.6,0.7647389461025107,0.840459626727062,0.7462866119623999,1.118777062250056,0.9474986791709297,0.8442975816510938,0.9136430505266656,0.9379747428838898,0.8860064255501825,convnextv2_tiny_focal_fulldata_0,0.5749894360575935
plasma-cell,0.4707961505809391,0.6662323594890355,956.0,735.4,869.0,161375.4,0.5437418519342685,0.7596496028575949,0.53920588375469,1.2298792704165886,0.9423475090232178,0.8257455005434589,0.6582245198409595,0.8333151570126625,0.689357630242207,convnextv2_tiny_focal_fulldata_0,0.2876586475073294
eosinophil,0.4236174021540374,0.5524852199883554,767.0,263.2,802.4,162350.0,0.5900868273980675,0.7435516909283609,0.6002176423020193,2.340978396531944,0.8708239343016946,0.7044334805057547,0.6804740987572739,0.7784053575834529,0.675367491112903,convnextv2_tiny_focal_fulldata_0,0.3969438028452237
connective-tissue-cell,0.7243662537574813,0.9644494306169094,40775.2,7724.8,4566.8,116848.8,0.8690181758820046,0.9186354880370446,0.8200140945098277,1.5654161140507707,0.9256949904936033,0.8256275846835319,0.9757093847395792,0.9872232899582312,0.9543930671209402,convnextv2_tiny_focal_fulldata_0,0.6672458406741446
mitosis,0.5168294939339443,0.32046232672298114,412.8,344.6,160.4,163137.0,0.6204779738016674,0.8590299151810674,0.6250319646101207,1.6808035805599224,0.917854672787111,0.8069727996979452,0.6616204041960551,0.6638972562726829,0.4714420363821861,convnextv2_tiny_focal_fulldata_0,0.429829241176629
all,0.7288315515583069,0.0,163848.8,10423.8,12676.8,0.0,0.9341484462193448,-999.0,-999.0,1.5499882232326119,0.9380133092104229,0.6086026677230217,0.9904928338703811,0.9936447967383095,0.9799701268340941,convnextv2_tiny_focal_fulldata_0,0.8520127222901983
