class,mpq,r2,TP,FP,FN,TN,F1_d,F1,balanced_acc,mcc,seg_hausdorff_(TP),seg_dice_(TP),seg_mcc_(TP),spearman,pearson,log_pearson,model,tta
neutrophil,0.20421352469186105,0.43974058065470595,43.4,67.2,126.6,87075.4,0.1342144755122428,0.30935613115795746,0.6272614947602397,0.3154923540170048,2.262438004132671,0.829722120936542,0.6021992156321694,0.35054733519029163,0.7493928898902318,0.6596857088900367,convnextv2_large_focal_fulldata_0,8
epithelial-cell,0.6052932442955269,0.9445420137988408,51013.4,9997.2,11382.0,34403.2,0.7084390976776156,0.8267572251089733,0.7962117798763477,0.5899793334822401,2.847791372231307,0.8380226981989471,0.6351264132773953,0.9553156685251384,0.9717544909286702,0.973506015932049,convnextv2_large_focal_fulldata_0,8
lymphocyte,0.6417395799846402,0.9599401204036886,14395.4,4769.2,4085.0,67986.6,0.5515363603964878,0.7647972137990994,0.8567022189715926,0.7038714009797803,1.1685472249655753,0.9172037222755748,0.7464508928971441,0.9694691942249213,0.9800147678017431,0.953300044911489,convnextv2_large_focal_fulldata_0,8
plasma-cell,0.3825011819514641,0.5511662318821811,1760.6,1358.8,2639.2,82350.6,0.23018729878362215,0.4682972494068333,0.6919610509083035,0.4525157174734443,1.2011070929001473,0.9081201597995042,0.7262781700423145,0.8288098760110365,0.7854567828292074,0.739715164192527,convnextv2_large_focal_fulldata_0,8
eosinophil,0.36327453338378024,0.5116286743476227,320.6,285.4,244.4,86589.0,0.3141572653489781,0.5475339349984821,0.7820742249048035,0.5448470786155264,2.1516088848295047,0.8233189314185783,0.5816488553083333,0.6501939105169802,0.7616847058149689,0.6367700911277321,convnextv2_large_focal_fulldata_0,8
connective-tissue-cell,0.5155474295575495,0.7291462938502395,13080.4,3135.2,7656.8,71372.0,0.5295322775207361,0.7079520177119093,0.7943453668256911,0.6464018634879412,2.0021240602714463,0.8595482886163216,0.6902772150406473,0.9040280938584523,0.9148013378318754,0.8989577399522224,convnextv2_large_focal_fulldata_0,8
mitosis,0.2861011193593766,0.0,51.2,103.4,55.8,87074.2,0.20946623506923964,0.3913866711165159,0.738659289956755,0.39718031867732256,1.570399396102486,0.8684705689300068,0.6818152796401077,0.43637634157452254,0.47936406607919874,0.4428776412654202,convnextv2_large_focal_fulldata_0,8
all,0.5448200809465502,0.0,87237.2,13144.2,19617.6,0.0,0.721664946660878,0.8419107891907001,-999.0,-999.0,2.3212136459662687,0.8579195214127641,0.44033578388051264,0.9645078837830205,0.9708793816129457,0.9692083532090537,convnextv2_large_focal_fulldata_0,8
neutrophil,0.2055466708162581,0.42514464387817535,44.0,66.8,126.0,86996.0,,0.31343631185666243,0.629028132061374,0.31964953361486004,2.2496021832309383,0.8301693111237892,0.604698142286031,0.34060198606424585,0.7542293238616773,0.6622288032632258,convnextv2_large_focal_fulldata_0,16
epithelial-cell,0.6055769887173286,0.9441834108601354,50963.4,10002.4,11436.0,34381.4,,0.8262199931932056,0.7956843527836004,0.5888469161321461,2.8432753682878658,0.8384193649012944,0.6358359941157674,0.9547720441301767,0.9716005245685357,0.9713928322803381,convnextv2_large_focal_fulldata_0,16
lymphocyte,0.6438508825322883,0.9606458221032985,14412.8,4740.4,4067.2,67929.8,,0.7659619968035669,0.8573409252646448,0.7052840897654495,1.1645181658639754,0.9179861172958372,0.7488018183353473,0.9702453722361468,0.9804949008413224,0.9555539033193808,convnextv2_large_focal_fulldata_0,16
plasma-cell,0.3857259011988452,0.5524384651615157,1770.2,1346.2,2629.8,82289.6,,0.471022611592845,0.6931110722432405,0.45543860595353214,1.1964165171635652,0.9096281408744389,0.7297662404817917,0.8361786305899568,0.7876212264538484,0.7476267626569011,convnextv2_large_focal_fulldata_0,16
eosinophil,0.36903203678002605,0.523017570874694,323.8,282.2,241.2,86511.6,,0.5530307881616854,0.7849229722643418,0.5503615657726307,2.148886356750906,0.8238663136471318,0.5844138527246385,0.6484970553830071,0.7686128123193675,0.6466791741965412,convnextv2_large_focal_fulldata_0,16
connective-tissue-cell,0.5161898698892264,0.7319398547579078,13066.2,3131.0,7671.8,71314.6,,0.7075202021552249,0.7940016465179989,0.6459319950923166,2.002615292187667,0.8600234681082185,0.6911452548218928,0.9045820884896127,0.916342220360559,0.9003374617728463,convnextv2_large_focal_fulldata_0,16
mitosis,0.2907177542611681,0.0,52.0,102.6,55.0,86993.4,,0.3974960713582935,0.7424016494632124,0.40339482893795237,1.5447672583420322,0.8673908468541296,0.6787101037413551,0.43781847897964443,0.48907693129920593,0.4969670775533485,convnextv2_large_focal_fulldata_0,16
all,0.5462168472625,0.0,87156.8,13147.2,19702.6,0.0,,0.8414304734708244,-999.0,-999.0,2.3175394023977964,0.8584230474450433,0.4428103697488874,0.9645144702873122,0.9709433439037125,0.9677142029116339,convnextv2_large_focal_fulldata_0,16
