class,mpq,r2,TP,FP,FN,TN,F1_d,F1,balanced_acc,mcc,seg_hausdorff_(TP),seg_dice_(TP),seg_mcc_(TP),spearman,pearson,log_pearson,model
epithelial-cell,0.60201266596251,0.9418918574031014,51121.2,10876.8,11267.6,34998.0,0.7022114441135332,0.8219716251173921,0.7911502294851698,0.5816603800291633,2.8571183658453667,0.8369846454369385,0.6335224212699211,0.9565710289061856,0.9719284284975218,0.969762492382064,convnextv2_base_focal_fulldata_0
lymphocyte,0.6369947834007312,0.954613709034667,14958.6,5561.8,3527.6,67946.2,0.5573029907552274,0.7669781606011579,0.8667570383603824,0.7060468122114112,1.2061744269249286,0.9108718911835136,0.7358481109475803,0.9675951059451041,0.9819823550837501,0.9529094970112528,convnextv2_base_focal_fulldata_0
plasma-cell,0.36565789748780236,0.5311201137064709,1666.6,1321.4,2734.4,83009.2,0.20800564459857132,0.4511049359598644,0.6815086886193805,0.43692890065392626,1.2285611187868126,0.905404825572041,0.7238167150160683,0.8099371632922692,0.7763780484757458,0.7371870724619493,convnextv2_base_focal_fulldata_0
eosinophil,0.3726054783177928,0.5928952071933346,298.8,208.4,266.0,87347.4,0.31900615568837576,0.5574695106404334,0.7633278702846796,0.5555885708481917,2.1337594478014785,0.8225858396554953,0.5829357421983218,0.6384663962563859,0.7789120075503788,0.6837921849973233,convnextv2_base_focal_fulldata_0
connective-tissue-cell,0.5117258047708338,0.7019833243211615,13052.4,3064.0,7687.6,72052.0,0.5223101517701767,0.7082833924584662,0.7942721927944292,0.6480053763322211,2.021482146283856,0.85749347408925,0.6873003311454504,0.8866417905641839,0.898263326576034,0.8811351817161599,convnextv2_base_focal_fulldata_0
mitosis,0.27603512432788513,0.12021963282756312,54.2,87.8,52.8,87794.0,0.22713235153929698,0.4352478398833702,0.752771499025686,0.43893528666735204,1.9793035315552672,0.8156464183130392,0.5975821033930927,0.46479692430104286,0.5571324596746476,0.4570548971537134,convnextv2_base_focal_fulldata_0
all,0.5392507988243171,0.0,87943.0,14462.4,18914.8,0.0,0.719650914707405,0.8405013591432752,-999.0,-999.0,2.329218929275141,0.8559926677123203,0.43427321588663437,0.9608072824689181,0.9679834212817708,0.9645644905514754,convnextv2_base_focal_fulldata_0
neutrophil,0.12137678101563676,0.012084911054510882,39.8,178.8,130.2,86618.6,0.07455990275774814,0.20468241183354463,0.6160288279670219,0.20458747922150505,2.6628630160316176,0.796605982999181,0.5471042088753795,0.23507136569938827,0.7001089548937994,0.7931136650220297,convnextv2_tiny_focal_fulldata_0
epithelial-cell,0.5976888872244961,0.9521402787033579,51111.0,10833.4,11283.4,33963.6,0.6987932727479564,0.8221247678835166,0.7886636081431969,0.5765319088567148,2.899267985593768,0.8346954658618383,0.6297355162451568,0.9627075351898796,0.9763747937109419,0.9771565118028491,convnextv2_tiny_focal_fulldata_0
lymphocyte,0.62404091650165,0.9550516927367179,14321.8,5275.8,4156.0,67428.6,0.5289031261899761,0.7522865029088006,0.851258201836447,0.6874656315698744,1.1966721860611949,0.9113090325222564,0.7369819906898057,0.9568674634931476,0.9803914839016974,0.9446730327724199,convnextv2_tiny_focal_fulldata_0
plasma-cell,0.34845207290133073,0.3809290345354658,1579.2,1324.2,2821.0,81957.8,0.1888087856151126,0.4324440577438793,0.6714962923647849,0.41850517260384856,1.268812306477947,0.9023785845710236,0.7167653026532899,0.8038738695437072,0.6911341759687264,0.7020135527045521,convnextv2_tiny_focal_fulldata_0
eosinophil,0.32407148050321466,0.3079797618720267,315.2,327.6,249.8,86118.2,0.30172772040466367,0.5219413331377636,0.7770432411670876,0.5197191945981349,2.4322501764406526,0.8041213735575431,0.5652286425963531,0.6709657342641308,0.7370763503270512,0.6162825347718611,convnextv2_tiny_focal_fulldata_0
connective-tissue-cell,0.5057138372794382,0.683362934530121,12621.4,2787.8,8117.2,71325.4,0.5107537768893815,0.6983216476123449,0.7854896023125608,0.6397951531516372,2.0512330100037266,0.8587795395845819,0.6902014140834756,0.8959884839591586,0.9113540748133542,0.8829890190977192,convnextv2_tiny_focal_fulldata_0
mitosis,0.3035504407101421,0.06725626624193144,46.2,61.4,60.8,86676.4,0.23873478802658948,0.430454667059438,0.7155339114292707,0.4297794610511116,1.5947937336029785,0.8545969678568905,0.6544956910664925,0.49971298589781316,0.5266078491302684,0.134745627891303,convnextv2_tiny_focal_fulldata_0
all,0.5338897863364983,0.0,86810.8,14012.8,20042.2,0.0,0.7115770377612388,0.8360190849879536,-999.0,-999.0,2.3725010765047636,0.8540869980606388,0.4537709403233389,0.9547965940057465,0.9678145900410937,0.9649846243673682,convnextv2_tiny_focal_fulldata_0
