class,mpq,r2,TP,FP,FN,TN,F1_d,F1,balanced_acc,mcc,seg_hausdorff_(TP),seg_dice_(TP),seg_mcc_(TP),spearman,pearson,log_pearson,model,tta
neutrophil,0.007238309017123692,0.022913747554964517,1.3564659966250536,2.5612496949731396,1.3564659966250534,77.55668894428126,0.0038104175529326185,0.00999847944625625,0.00399751760269742,0.010424365960824751,0.035586189814676816,0.005295083642204661,0.0065812899461587275,0.008804422805846313,0.00832837313537553,0.04446758457069596,convnextv2_large_focal_fulldata_0,8
epithelial-cell,0.00020083175246231942,0.0003878449271468547,51.16874045743162,54.51385145080102,50.714889332423866,28.603496289789472,0.0009978782814066074,0.0008417298190007521,0.0008884228525117289,0.0017530988225061344,0.0032951305293217274,8.062001312993502e-05,0.00012192642425908138,0.0004225038938344902,0.0002429370453341961,0.001400273044829442,convnextv2_large_focal_fulldata_0,8
lymphocyte,0.000990228473042305,0.0005984112735837265,23.52530552405218,19.03050183258445,24.76287543884999,56.560056577057985,0.0019471903022877626,0.0009487704837402581,0.0006911466104564254,0.001157840545454004,0.004193506737245073,0.0004869010829994029,0.0014321848467383665,0.0006093951513965147,0.0004929042692157172,0.0010560839270163606,convnextv2_large_focal_fulldata_0,8
plasma-cell,0.0006301950720527259,0.006447275581897202,1.624807680927192,17.881834357805687,1.9390719429665317,81.6739860665561,0.0023811953133429215,0.0012524322240192614,0.00025398142350690594,0.0016376729355363517,0.0036109471003121815,0.0007312345932196732,0.0013097571423372173,0.005021509463445655,0.002436986238947816,0.011238526190700692,convnextv2_large_focal_fulldata_0,8
eosinophil,0.003023871495699498,0.018118305983425932,6.2801273872430325,6.770524351924302,6.280127387243033,73.53638555164376,0.00826253828214105,0.007456524761959249,0.005547055576222535,0.007575471121888773,0.027669139151841937,0.0009923203893818207,0.001764726566973111,0.008720575036690869,0.009064160829184575,0.02566955212810081,convnextv2_large_focal_fulldata_0,8
connective-tissue-cell,0.000775230727344049,0.0032204772485678454,12.768711759609895,27.22792683991934,12.106196760337244,64.6807544792112,0.0011812746308198533,0.0008047985699339066,0.0004018464390679198,0.0010847201798049287,0.006441219180111169,0.00030415185204019747,0.00040169398975599304,0.0010081757765352394,0.0007523318261126359,0.004244577654691486,convnextv2_large_focal_fulldata_0,8
mitosis,0.010025996843788623,0.0,1.5999999999999999,2.8705400188814645,1.5999999999999999,78.26978982979321,0.006484105512363858,0.008766588911762728,0.007469135315439139,0.009314737748329277,0.03442385870307991,0.0032766250395280722,0.004338312158742716,0.013158964215813973,0.012817962388052087,0.06533471405216688,convnextv2_large_focal_fulldata_0,8
all,0.0006042543006210381,0.0,77.34701028481967,70.91234025189128,76.64620016674017,0.0,0.0008205239824938989,0.0006832270327323734,-999.0,-999.0,0.0016466058148673721,0.00012569914350265253,0.004670482803880138,0.00040402448300951054,0.00041088156732958607,0.003489072023700193,convnextv2_large_focal_fulldata_0,8
neutrophil,0.010644591830688561,0.04949722981563246,1.8973665961010275,3.867815921162743,1.8973665961010275,55.87128063683524,,0.014177123168206069,0.005591424170459934,0.014906336270965702,0.16581545429981237,0.010273730340873366,0.008366919241709986,0.019499029982421874,0.00991808499301255,0.08108918234404998,convnextv2_large_focal_fulldata_0,16
epithelial-cell,0.00034668685714648727,0.0006687384741151931,58.15015047272019,53.63058828690956,57.113921245174545,25.37400244344593,,0.0008951914671469551,0.00089696000841336,0.0017806772361864684,0.003872170885423172,0.00022569080959351158,0.00046971573216440685,0.0003030822980869285,0.00020638495862837297,0.001806184001831565,convnextv2_large_focal_fulldata_0,16
lymphocyte,0.0007784871954798363,0.00038152849646583785,12.592060990957755,17.2,13.347658970770867,55.50279272252884,,0.0006073607972258866,0.00040030736054299555,0.0007588635603871003,0.0008864388417580894,0.00022062256456161424,0.0005141804756353664,0.0005224954850387845,0.00017689794831667751,0.001133847427144596,convnextv2_large_focal_fulldata_0,16
plasma-cell,0.001971131948251976,0.005430179272434826,8.657944328765346,10.087616170334794,8.657944328765346,61.53568070639993,,0.0020216447589733455,0.0009999678904435922,0.0021019867578436977,0.0042129435548741365,0.0008725723671497755,0.0017503252940857124,0.0022523291129175993,0.003357869872155569,0.00776990084447575,convnextv2_large_focal_fulldata_0,16
eosinophil,0.0029794976775534285,0.021096214517127315,2.9933259094191524,3.1874754901018454,2.9933259094191524,55.56113749735512,,0.004910317710324841,0.002663056500904918,0.004950932392802623,0.032888278159927245,0.002506441140383021,0.0035959695712616544,0.006988090206648229,0.00874349859984582,0.015877935437538872,convnextv2_large_focal_fulldata_0,16
connective-tissue-cell,0.0007855435418519657,0.002549252588465239,15.68948692596415,20.83266665599966,15.104966070799364,58.119187881456156,,0.0006990139209972003,0.0004023107864077638,0.0008687214271637395,0.003214905150728449,0.0004400457793876698,0.00077743914822563,0.0013543767169803228,0.0012095286997343005,0.002689695279035023,convnextv2_large_focal_fulldata_0,16
mitosis,0.0031034834699709924,0.0,1.4142135623730951,1.7435595774162693,1.4142135623730951,54.10582223753744,,0.007222456296246474,0.006602222605715817,0.007860367620048629,0.02208758900859105,0.002675244556803238,0.0026395814200742946,0.015721848500888102,0.009829614792634769,0.04080123144686035,convnextv2_large_focal_fulldata_0,16
all,0.0005693402095331176,0.0,55.115877930048434,52.25093300602393,56.00928494455183,0.0,,0.0004756881911660318,-999.0,-999.0,0.0030633256060076702,0.0002769931591402633,0.0065908983196220055,0.0004119205121004026,0.0002172307094403773,0.001824717037940107,convnextv2_large_focal_fulldata_0,16
